phase,signature,dataset,model_type,width_factor,depth,poison_ratio,poison_type,alpha,data_ordering,aggregator,batch_size,mean_test_acc,std_test_acc,mean_test_loss,std_test_loss,mean_val_acc,std_val_acc,mean_val_loss,std_val_loss,num_parameters,best_epoch,seed
exp1_vary_width,cifar10|cnn|64|16|0.5|label_flip|100.0|shuffle|fedavg|128|42,cifar10,cnn,64,16,0.5,label_flip,100.0,shuffle,fedavg,128,0.3834,0.0,1.888413833618164,0.0,0.3922,0.0,1.886451156425476,0.0,558410,38,42
exp1_vary_width,cifar10|cnn|1|16|0.75|label_flip|100.0|shuffle|fedavg|128|42,cifar10,cnn,1,16,0.75,label_flip,100.0,shuffle,fedavg,128,0.0903,0.0,2.3024968627929687,0.0,0.1092,0.0,2.304070034408569,0.0,230,3,42
exp1_vary_width,cifar10|cnn|64|16|0.5|random_noise|100.0|shuffle|fedavg|128|42,cifar10,cnn,64,16,0.5,random_noise,100.0,shuffle,fedavg,128,0.3953,0.0,1.8797819591522216,0.0,0.392,0.0,1.8918886751174928,0.0,558410,44,42
exp1_vary_width,cifar10|cnn|1|16|0.75|random_noise|100.0|shuffle|fedavg|128|42,cifar10,cnn,1,16,0.75,random_noise,100.0,shuffle,fedavg,128,0.1029,0.0,2.302810241699219,0.0,0.11,0.0,2.302597269821167,0.0,230,12,42
exp1_vary_width,cifar10|cnn|64|16|0.75|label_flip|100.0|shuffle|fedavg|128|42,cifar10,cnn,64,16,0.75,label_flip,100.0,shuffle,fedavg,128,0.3028,0.0,2.073737409210205,0.0,0.3046,0.0,2.0784960887908936,0.0,558410,44,42
exp1_vary_width,cifar10|cnn|1|16|1.0|label_flip|100.0|shuffle|fedavg|128|42,cifar10,cnn,1,16,1.0,label_flip,100.0,shuffle,fedavg,128,0.11,0.0,2.3006982387542725,0.0,0.1152,0.0,2.301846125793457,0.0,230,12,42
exp1_vary_width,cifar10|cnn|1|16|1.0|random_noise|100.0|shuffle|fedavg|128|42,cifar10,cnn,1,16,1.0,random_noise,100.0,shuffle,fedavg,128,0.0864,0.0,2.302699979019165,0.0,0.1036,0.0,2.303932385253906,0.0,230,11,42
exp1_vary_width,cifar10|cnn|64|16|0.75|random_noise|100.0|shuffle|fedavg|128|42,cifar10,cnn,64,16,0.75,random_noise,100.0,shuffle,fedavg,128,0.2977,0.0,2.084350841522217,0.0,0.3034,0.0,2.0942314453125,0.0,558410,47,42
exp1_vary_width,cifar10|cnn|64|16|1.0|label_flip|100.0|shuffle|fedavg|128|42,cifar10,cnn,64,16,1.0,label_flip,100.0,shuffle,fedavg,128,0.1,0.0,2.3060482158660887,0.0,0.1048,0.0,2.340952603149414,0.0,558410,8,42
exp1_vary_width,cifar10|cnn|64|16|1.0|random_noise|100.0|shuffle|fedavg|128|42,cifar10,cnn,64,16,1.0,random_noise,100.0,shuffle,fedavg,128,0.1,0.0,2.3060484203338625,0.0,0.1054,0.0,2.343544151687622,0.0,558410,10,42
exp1_vary_width,mnist|cnn|64|16|0.0|label_flip|100.0|shuffle|fedavg|128|42,mnist,cnn,64,16,0.0,label_flip,100.0,shuffle,fedavg,128,0.9949,0.0,0.0255324488651007,0.0,0.9935,0.0,0.035517458046476,0.0,557258,48,42
